,Title,Published_date,Views,Likes,Comments
129,BHAYANKAR PLANNING,2022-05-25T11:47:17Z,499275,30615,2316
130,Bihar ke Sonu Kumar tak Pahuncha PW | Alakh Sir ne promise kia education main support 🙏 #shorts,2022-05-22T07:11:50Z,7811143,832635,5787
131,Dher Sare PLAY BUTTON de diye YouTube Ne 😂 #shorts || Physicswallah || Alakh Pandey,2022-05-09T14:37:42Z,11602516,984882,2517
132,Launching PARISHRAM Batch !!! For Class 12th Boards & CUET 2023 @Rs 2000 🔥 Install App Now,2022-04-28T15:36:57Z,447294,24563,2861
133,Shri ARVIND KEJRIWAL Giving Award to PW 🔥,2022-04-10T11:36:35Z,1809787,142209,9383
134,The Most DANGEROUS Game Show - Lakshya JEE vs Lakshya NEET !!! PW Battleground 💥,2022-04-06T16:06:22Z,1118702,76944,9091
135,PW BATTLEGROUND - The Biggest Ever Game Show !!! Official Teaser Out 💥,2022-04-05T15:59:21Z,448953,31356,2661
136,Class 12th - NEW LIVE Batches Launched !!! Lakshya NEET & Lakshya JEE on PW App 🔥,2022-04-01T17:02:40Z,1045171,60617,3831
137,MY FIRST VLOG !!! Welcome to West Bengal 🔥,2022-03-16T15:27:26Z,2248544,188865,14539
138,The MANZIL 2.O - History will be Created 🙏 JEE Crash Course || Completely FREE !!!,2022-03-13T15:40:40Z,571262,43300,3517
139,"@PW-HindiMedium UTTAR PRADESH Waalon, Swagat Nahi Karoge Hamara??",2022-03-10T17:17:03Z,273820,19722,2809
140,"Score 95%+ in Class 12th Boards 🔥|| Yes, It's Still Possible 💪 Join BOARD BOOSTER Batch @Rs 699 !!!",2022-03-07T14:55:45Z,333903,24141,2301
141,"Finally, VISHWAS DIWAS Offers Extended to 10th March !!! Thanks Again 🙏",2022-03-04T17:00:19Z,467945,41090,3944
142,Happy VISHWAS DIWAS ❤️ | Aya Revolution | World's Biggest Educational Festival LIVE 🔥28 Feb - 4 Mar,2022-02-28T16:22:14Z,1875731,156263,7256
143,Crack NEET in 100 Days 🔥 The NEET ULTIMATE 2.O Crash Course !!! (Motivational Video + Batch Launch),2022-02-02T15:43:14Z,1247789,54096,4360
144,"Alakh Sir X Jeetu Bhaiya || Failure, Struggle & Success 💥 Message for All Who didn't get into IIT 🙏",2022-01-09T15:00:13Z,3746404,197422,4507
145,"BIHAR/UP - प्रतिभा दिया, पर साधन नही || Revolutionary Day 🙏 Check Description !!!",2022-01-04T16:15:02Z,674753,78035,13019
146,"Happy New Year 2022 !!! 🎉 ""BIGGEST"" GIFTS for All 🔥",2021-12-31T18:30:59Z,633728,66087,6295
147,"NEET 2022 - 100 DAYS CRASH COURSE || It's NEVER Too Late 💪 SELECTION होगा, और इसी साल होगा!!!",2021-12-23T16:57:55Z,609136,41244,4070
